Intent,Utterance
additional-coverage,What are the Additional Coverage (Top-Up) options available
additional-coverage,what are the top up options available
additional-coverage,What are the Additional Coverage options available
additional-coverage,available top up options
additional-coverage,Additional Coverage options available that are available
additional-coverage,What are the top-up options that are available
additional-coverage,what is the top up plan under mediclaim
additional-coverage,top up plan under mediclaim
additional-coverage,what is a topup plan under mediclaim
additional-coverage,topup plan under mediclaim
additional-coverage,What are the topup options that are available
additional-coverage,What are the Additional Coverage  topup options available
am-i-eligible,Am I eligible for promotion
am-i-eligible,Am I eligible for progression
am-i-eligible,Am I eligible for progression or promotion
amazing,Amazing
any-plans-for-the-weekend,Any plans for the weekend
apply,register for maternity leave
apply-for-vacancy-and-promotion,When I apply for a vacancy and get selected will i get a promotion
apply-for-vacancy-and-promotion,will i get a promotion if i get selected after applying for a vacancy
apply-leave,i want to apply leave
apply-leave,Apply Leave
apply-leave,i want to apply leave from tuesday to thursday
apply-leave,i want to apply leave
apply-leave,i want to apply leave for ond day
apply-leave,i want to apply leave from monday
apply-leave, apply leave from may 1st
apply-leave,i want to apply leave from tuesday till thursday
apply-leave,what is the procedure to apply leave
apply-leave,i want to apply leave from apr-1 to apr-3
apply-leave,i want to apply leave from next monday
apply-leave,What are the steps to apply leave
apply-leave,i want to apply  leave from 1-apr to 5-apr
apply-leave,apply leave from
apply-leave,i want to apply one day leave
apply-leave,Application for leave
apply-leave,leave application
apply-leave,leave request
apply-leave,How can I apply for leave? 
apply-leave,please book my leave
apply-leave,i want to book a leave
apply-leave,i want to book a leave tomorrow
apply-leave,i want to book a leave on 24th august
apply-leave,apply leave for five days
apply-leave,apply leave for 5 days from tomorrow
apply-leave,apply leave for five days from 23/04/2019
apply-leave,i want to book a leave on 23rd january
apply-leave,I need to take a leave
apply-leave,I need to take a leave on tomorrow
apply-leave,I need to take a leave from next friday
apply-leave,I need to take a leave on 23rd september
apply-leave,Mark Leave
apply-leave,How can I mark leave?
apply-leave,I want to get leaves?
apply-leave,Apply a day off.
apply-leave,I want to get a day off
apply-leave,I want to take off from work
apply-leave,I want to mark leaves?
apply-leave,I want to take a day off
apply-leave,I wanna take a day off
apply-leave,i said i want to take a break
apply-leave,I want to apply  leave from June 15th till June 22nd
apply-leave,apply annual leave
are-you-a-robot,Are you a robot?
are-you-an-idiot,are you an idiot
are-you-expensive,Are you expensive?
are-you-having-kids,are you having kids
are-you-human,Are you human? 
are-you-mad,are you mad
are-you-mad,you're mad
are-you-mad,you are mad
are-you-married,Are you married
are-you-married,Are you married?
are-you-my-friend,Are you my friend?
are-you-ok,Are you ok?
are-you-on-instagram,Are you on twitter
are-you-on-instagram,Are you on fb
are-you-on-instagram,Are you on instagram
are-you-real,Are you real?
are-you-single,Are you single?
are-you-smarter-than-me-greater-than,Are you smarter than me>
are-you-stupid,are you stupid
are-you-stupid,you are stupid
are-you-stupid,stupid
are-you-stupid,idiot
are-you-stupid,are you idiot
are-you-stupid,you're an idiot
are-you-stupid,you are idiot
are-you-stupid,you're stupid
are-you-stupid,you must be idiot
are-you-stupid,you idiot
are-you-stupid,you stupid
are-you-stupid,you must be stupid
arriving-at-role-banding,How did we arrive at the new bands? OR What was the rationale for reducing role bands?
arriving-at-role-banding,How did we arrive at the new bands?
arriving-at-role-banding,What was the rationale for reducing role bands?
arriving-at-role-banding,How did we arrive at the role banding?
arriving-at-role-banding,rationale behind my new band
arriving-at-role-banding,rationale behind my new role
arriving-at-role-banding,what i the reason for arriving at role banding
arriving-at-role-banding,How did we arrive at the role banding?
arriving-at-role-banding,basis for my role band 
arriving-at-role-banding,on what basis my role band was selected
arriving-at-role-banding,how is my band decided
arriving-at-role-banding,how is my role band defined
arriving-at-role-banding,how is the role band finalized
arriving-at-role-banding,how my role band decided
arriving-at-role-banding,how is my role band decided
arriving-at-role-banding,how my role band has been decided
arriving-at-role-banding,how role band is selected
arriving-at-role-banding,how role banding is decided
arriving-at-role-banding,how the role bands were decided
arriving-at-role-banding,how was role bands determined
arts,dance
arts,can u dance
arts,music
arts,sing
arts,play some music
arts,can u play with me
arts,i want to play with you
arts,play
arts,will u dance
attendance,Attendance
attendance,Where can I mark my attendance
attendance,mark my attendance
awesome,Awesome
awesome,awesum
awesome,awesme
awesome,its just awesome
awesome,you are awesome
awesome,awesome man
awesome,you're awesome
band-equivalent-role-banding,"I am right now in R1A, I should have been in R1B, with the re banding project will I be placed band equivalent to R1B or R1A."
band-equivalent-role-banding,I was hired at R1B however the role that I am doing is that of a R2A currently. Post re-banding will my role be pegged equivalent to an R2.
band-equivalent-role-banding,post re banding equivalent role?  
band-equivalent-role-banding,What is the equivalent band of R1 in the new banding structure
band-equivalent-role-banding,"What is equivalent role band, in the earlier band structure, for band Violet"
band-equivalent-role-banding,"What is equivalent role band, in the earlier band structure, for band Red"
band-equivalent-role-banding,"I am senior to my colleagues but am placed in the same band , is this a demotion"
band-equivalent-role-banding,my role as per new structure
band-equivalent-role-banding,what is my role as per new structure
band-equivalent-role-banding,what is my role as per new band structure
band-equivalent-role-banding,Where does previous R2A role fall into as per new structure
band-equivalent-role-banding,Where does previous R1A role fall into as per new structure
be-yourself,Be yourself.
benefits,what are the benefits for maternity leave
benefits,advantages of adoption leave
benefits,what benefits are offered as part of maternity leave
benefits,benefits of paternity leave
benefits,How many days of leave do I get
benefits,duration of adoption leave
benefits,How long is my maternity leave for
benefits,what is the duration of paternity leave
benefits,how many days off do employees get as part of maternity leave
benefits,what is the coverage of maternity leave
benefits,show me all the benefits for maternity  
benefits,what are the benefits of leave
benefits,benefits of leave
benefits,what are the benefits of additional maternity  
benefits,what are the benefits of additionalmaternity
benefits,additional maternity benefits
bf,you're handsome 
bf,I love you
bf,Will you marry me
bf,i want to know you better
bf,how about a part on weekend
bf,i want to know more about you
bf,you're looking good
bf,How was the vacation? Where’d you go?
bf,You are my pride and joy.
bf,talk about yourself
bf,i want to marry you
bf,you look pretty
bf,mind blowing
bf,amazing
can-u-fly,can u jump
can-u-fly,can u dance
can-u-fly,can u fly
can-u-fly,can u run
can-u-fly,do you know swimming
can-u-fly,do you go to gym
can-u-fly,do you know singing
can-u-fly,can u bite
can-u-fly,can u swim
can-u-fly,do you know dancing
can-u-fly,do you know programming
can-u-fly,can u kick
can-you-cook,Can you cook
can-you-dance,Can you dance
can-you-dance,do you dance
can-you-dance,do you know how to dance
can-you-fly,Can you fly?
can-you-run,Can you run?
can-you-see-me,Can you see me?
can-you-sing-a-song,Can you sing a song
can-you-sing-a-song,sing a song
can-you-sing-a-song,sing a song for me
can-you-sing-a-song,can you sing
checks-in-role-banding,What are checks and balances used? OR Did HR do this exercise without understanding my role? Were there any biases?
checks-in-role-banding, Did HR do this exercise without understanding my role?
checks-in-role-banding,Were there any biases while doing role banding?
checks-in-role-banding,What are checks and balances used?
checks-in-role-banding,Were there any biases?
client-facing-roles,i am meeting clients. what is my designation
client-facing-roles,i am meeting clients. what is going to be  designation
client-facing-roles,i am meeting clients. what is going to be my designation
client-facing-roles,i have  a client facing role
client-facing-roles,i have a bussiness facing role
client-facing-roles,i have a business facing role
client-facing-roles,customer facing role
client-facing-roles,i go to b2b events. what will be my designations
client-facing-roles,i interact with people from external formus
client-facing-roles,client facing roles
co-payment-percentage,what is the co payment percentage
co-payment-percentage,what is the co-payment percentage
co-payment-percentage,what is the co payment percentage for dependents
co-payment-percentage,what is the co payment percentage for childrens
co-payment-percentage,what is the co payment percentage for spouse
coffee-or-tea-chai,do you like tea
coffee-or-tea-chai,what do you prefer tea or like
coffee-or-tea-chai,Coffee or Tea / chai
coffee-or-tea-chai,do you like coffee
coffee-or-tea-chai,what do you think is better tea or coffee
comparing-with-old-band,What does new band mean compared to my old role band
comparing-with-old-band,Does this mean I am going up or down?
comparing-with-old-band,comparision with my old band
comparing-with-old-band,Did my band move up or down
comparing-with-old-band,was my movement up or down
comparison-with-external-market,"With no designations, how will I compare myself relative to external market?"
comparison-with-external-market,how will I compare myself relative to external market?
comparison-with-external-market,how to compare me with external market
comparison-with-external-market,how to compare with external market
comparison-with-external-market,how to compare with competitors
comparison-with-external-market,how to compare with other professionals
comparison-with-external-market,compare with competitors
comparison-with-external-market,will i be able to compare my self with others 
comparison-with-external-market,how to compare myself with others
comparison-with-external-market,how to compare with peers
comparison-with-external-market,all my peers have designation
confusion-using-terms,confusing using terms
confusion-using-terms,Why are we confusing using terms promotions and progression? 
confusion-using-terms,promotion & progression sounds confusing
confusion-using-terms,promotion and progression sounds confusing
confusion-using-terms,confusing using terms promotion and progression
contact-details-medclaim,Whom should I contact for escalations
contact-details-medclaim,whom should i contact
contact-details-medclaim,who is the contact person for medclaim queries
contact-details-medclaim,who should i escalate to
contact-details-medclaim,What is the coverage
contact-details-medclaim,What is the  medical coverage
contact-details-medclaim,What is my medical coverage
contact-details-medclaim,what is my coverage
contact-details-medclaim,what is my deduction amount
contact-details-medclaim,What is the coverage under medical policy
contact-details-medclaim,medical policy coverage
contact-details-medclaim,Whom did I nominate for mediclaim coverage
contact-incase-of-no-promotion,I didn’t get promotion. whom should i connect to 
contact-incase-of-no-promotion,I didn’t get progression. whom should i connect with
contact-incase-of-no-promotion,Whom should i contact incase i didn't get any promotion
contact-incase-of-no-promotion,Whom should i contact incase i didn't get any progression
contact-incase-of-no-promotion,I didn’t get progression. whom should i talk to regarding this
contact-incase-of-no-promotion,I didn’t get promoted/progression. whom should i connect with/talk to
cool,Cool
crack-a-joke,crack a joke
deduction-amount,What is the deduction amount
deduction-amount,deduction amount
deduction-amount,tell me the deduction amount
deduction-amount,how much amount is deducted
defaultmessage,main menu
defaultmessage,back
defaultmessage,go back
defaultmessage,home
defaultmessage,go to home
defaultmessage,what is your name
defaultmessage,menu
defaultmessage,home menu
designations-for-external-interactions,designations for external interactions
designations-for-external-interactions,I used to use the designation of Vice President for interactions with external forums. In the absence of designations how will I be able to influence the authorities?
designations-for-external-interactions,what designation should i use for external interaction
designations-for-external-interactions,what is my designation for external interactions
designations-for-external-interactions,external interaction designation
designations-for-external-interactions,how to  influence the authorities if there is no designation
designations-for-external-interactions,how to influence the authorities without designation
difference-progression-and-promotion,What is the difference between progression and promotion
difference-progression-and-promotion,difference between progression and promotion
difference-progression-and-promotion,tell me about the difference between progression and promotion
difference-progression-and-promotion,progression and promotion differences
difference-progression-and-promotion,list down the differences between progression and promotion
do-you-enjoy-your-work,do you enjoy your work
do-you-get-smarter,Do you get smarter?
do-you-have-a-job-for-me-where-can-i-apply,Do you have a job for me? / Where can I apply?
do-you-have-any-hobbies,Do you have any hobbies?
do-you-have-any-hobbies,what are your hobbies
do-you-have-any-siblings,Do you have any siblings?
do-you-have-kids,You have kids
do-you-have-kids,Do you have kids
do-you-have-kids,do you have kids
do-you-like-coffee,do you like coffee
do-you-like-tea,do you like tea
do-you-love-me-i-love-you,Do you love me?/ I love you.
do-you-watch-tv,do you watch tv
dont-like-the-new-band,I dont like the new role banding structure
dont-like-the-new-band,i dont like the new Structure
dont-like-the-new-band,i am not happy with the role banding whom to connect?
dont-like-the-new-band,whom to connect for role banding queries
dont-like-the-new-band,i am not happy with my band
dont-like-the-new-band,i am not satisfied with my band
dont-like-the-new-band,i do not want role banding
dont-like-the-new-band,unhappy with role banding
dont-like-the-new-band,i feel bad about current structure
dont-like-the-new-band,i feel bad about the current sturcture
dont-like-the-new-band,i feel bad about the new sturcture
education,what is your education
education,your qualification
education,Where have you studied from
education,your education background
eligibility-criteria,What is the eligibility criteria for Progression
eligibility-criteria,What is the eligibility criteria for Promotion
eligibility-criteria,What is the eligibility criteria for Cyclic Readiness Assessments
eligibility-criteria,What is the eligibility criteria for Need based Readiness Assessments
eligibility-criteria, Need based Readiness Assessments eligibility criteria
eligibility-criteria,who are eligible for a promotion
eligibility-criteria,who are eligible for a progression
eligibility-criteria,Will i be eligible for a progression
eligibility-criteria,What is the eligibility for a promotion
eligibility-criteria,I have completed two years in my role. Am I eligible for a promotion
eligibility-criteria,I have completed two years in my role. Why didn’t I get a promotion
enjoy-your-meal,I am going for a date
enjoy-your-meal,I am going for dinner
enjoy-your-meal,I’m going to lunch
enrollment-open,when will enrollment be open
enrollment-open,when is enrollment  closed
enrollment-open,Is enrolment open?
enrollment-open,when will enrollment be open
enrollment-open,enrollment open
enrollment-open,Is enrolment open
enrollment-open,is my enrolment open?
enrollment-open,enrolment open?
enrollment-period,What is the enrolment period
enrollment-period,What is the enrollment period
enrollment-period,for what period the enrollment window is opened
enrollment-period,enrollment window open period date
enrollment-period,What is the enrolment period
enrollment-period,What is the enrolment period
enrollment-period,enrollment period
favourite-movie,favourite cinema
favourite-movie,which movie do you like most
favourite-movie,which cinema do you like most
favourite-movie,favourite movie
favourite-movie,Whats your favourite movie
favourite-song,what is your favourite song
favourite-song,favourite song
favourite-song,can you recommend some music
favourite-song,favorite song
favourite-song,which song do you like the most
favourite-song,fav song
favourite-song,favourite song?
frequency,frequency
frequency,frequency
frequency,frequency
frequency,frequency
fun,fun
glad-to-meet-you,Glad to meet you
good-day,Today’s going to be a great day! I can feel it!
good-day,have a good day
good-day,Have a rock n’ roll day!
good-day,have a good day
good-day,Have a nice day
growth-prospects,What will be my growth prospects in case there are no next level roles? 
growth-prospects,In my role I don’t see a space to move further upward in terms of promotion as there is no vacancy. How do I grow in my career here then?
growth-prospects,growth prospects
growth-prospects,what are my growth prospects
growth-prospects,what about growth
help,Help
holiday-options,Holiday Options
holiday-options,options for holidays
holidays,holiday on 25th nov
holidays,holidays after 2nd april
holidays,all the holidays 
holidays,holidays from 12th august to 15th december
holidays,holidays in dec
holidays,i want to know holidays in
holidays,can you please tell me the holiday list
holidays,i want to check a holiday list for telangana
holidays,i want to check a holiday list for hyderabad
holidays,holidays list
holidays,upcoming holidays
holidays,i would like to know about holidays
holidays,holiday calendar
holidays,what are the upcoming holidays
holidays,do we have a holiday on 15th august 2019 in telangana
holidays,was 8th may a holiday in baddi
holidays,was yesterday a holiday in andhra pradesh
holidays,do we have a holiday on 16th march in andhra pradesh
holidays,was yesterday a holiday
holidays,do we have any holiday on 25th december
holidays,do we have a holiday on 30th july in andhra pradesh
holidays,is tomorrow a holiday
holidays,is there a holiday on 17th march in telangana
holidays,is 14/6/2019 a holiday
holidays,how many holidays are there
holidays,holidays next month
holidays,holidays this month
holidays,can you please tell me the holidays in the month of march 2019
holidays,long weekends
holidays,long weekends in august
holidays,when is the next long weekend
holidays,long weekend in January
holidays,can you help me with the holiday list pls
holidays,holiday list
holidays,please provide holiday list
holidays,show list of holidays
holidays,when do i have a long weekend coming up
how-are-you,are you fine
how-are-you,are you ok
how-are-you,you fine
how-are-you,you okay
how-are-you,are your feeling ok
how-are-you,what's your health condition
how-are-you,how's your health
how-are-you,how are you
how-are-you,How are you?
how-can-i-get-promoted,what do I have to do to get promoted
how-can-i-get-promoted,How can I get promoted
how-can-i-get-promoted,what should I do to get promoted
how-can-i-get-promoted,For progression what is the criteria
how-can-i-get-promoted,how i can get promotion
how-can-i-get-promoted,get promotion
how-can-i-get-promoted,why are not given promotion
how-can-i-get-promoted,How will I be evaluated for a promotion
how-can-i-get-promoted,How will I be evaluated for a progression
how-can-i-get-promoted,How can I be evaluated for a progression
how-can-i-get-promoted,i want a promotion what should i do?
how-can-i-get-promoted,what do i need to do to get a promotion
how-can-i-get-promoted,how will get promoted
how-can-i-move-to-the-next-sub-band,How can I move to the next sub-band
how-can-i-move-to-the-next-sub-band,when can i move to the next sub-band
how-can-i-move-to-the-next-sub-band,criteria for progression
how-can-i-move-to-the-next-sub-band,how do i progress
how-can-i-move-to-the-next-sub-band,how can move to diagonal role
how-can-i-move-to-the-next-sub-band,How Progression is given
how-can-i-move-to-the-next-sub-band,progressions
how-can-you-help-me,How can you help me?
how-can-you-help-me,how-can-you-help-me
how-can-you-help-me,how can you help me
how-can-you-help-me,what can you do for me
how-can-you-help-me,how can you help me
how-can-you-help-me,I need your help
how-can-you-help-me,whaat good are you
how-can-you-help-me,what features do you have
how-can-you-help-me,what can you do for me today
how-can-you-help-me,How else can you help me
how-can-you-help-me,list your features
how-do-i-get-to-the-next-level,How do I get to the next level
how-do-i-get-to-the-next-level,How do I get to the next band
how-do-i-get-to-the-next-level,How to move to next band
how-do-i-get-to-the-next-level,next role band for me
how-do-i-get-to-the-next-level,What is the next role band for me
how-do-i-get-to-the-next-level,About next level
how-do-i-get-to-the-next-level,Am I eligible for progression to band 
how-do-i-get-to-the-next-level,Am I eligible for progression to next band 
how-do-i-get-to-the-next-level,when i got next progression
how-do-i-get-to-the-next-level,when will I get progression
how-do-i-get-to-the-next-level,will i get a progression
how-do-i-know-my-promotion-increment,How do I know my promotion increment
how-do-i-know-my-promotion-increment,how to know my promotion increment
how-do-i-know-my-promotion-increment,what is my promotion increment
how-do-i-know-my-promotion-increment,any promotion increment
how-do-i-know-my-promotion-increment,my promotion increment
how-do-i-login-to-mediclaim,How do i login to Mediclaim
how-do-i-login-to-mediclaim, Mediclaim login
how-do-i-login-to-mediclaim,login to Mediclaim
how-do-i-login-to-mediclaim,link to login into mediclaim
how-is-this-use-full-to-me,How is this use full to me
how-is-this-use-full-to-me,how is role banding use full to me
how-is-this-use-full-to-me,is there any use by role banding for me
how-is-this-use-full-to-me,how will i get benefitted by role banding
how-is-this-use-full-to-me,How do the new role bands help me
how-is-this-use-full-to-me,How will this change help me
how-is-this-use-full-to-me,What’s in it for me?
how-is-this-use-full-to-me,What’s the point in all this
how-is-this-use-full-to-me,what is the advantage
how-is-this-use-full-to-me,what is the advantage of role banding
how-is-this-use-full-to-me,what is the advantage of role bands
how-many-bands-are-there,Which bands have sub-bands
how-many-bands-are-there,How many bands are there
how-many-bands-are-there,Which is my next band
how-many-bands-are-there,how many role bands
how-many-bands-are-there,how many bands
how-many-bands-are-there,how many sub-bands
how-many-bands-are-there,how many sub bands
how-many-bands-are-there,structure of role banding
how-many-bands-are-there,what is the structure of role banding
how-many-bands-are-there,how are bands decided
how-many-bands-are-there,how are role bands decided
how-many-bands-are-there,how do yellow and green bands differ
how-many-bands-are-there,how do green and red bands differ
how-many-bands-are-there,How is the structure
how-many-bands-are-there,How is the band structure
how-many-bands-are-there,How is the role band structure
how-many-bands-are-there,how many total role band
how-many-bands-are-there,how many total role bands are there
how-many-bands-are-there,what are the different bands available
how-many-bands-are-there,What is Green Band
how-many-bands-are-there,What is Red Band
how-many-bands-are-there,What is Violet Band
how-many-bands-are-there,What is Indigo Band
how-many-bands-are-there,What is Blue Band
how-many-bands-are-there,What is Red Band
how-many-bands-are-there,What is Orange Band
how-many-bands-are-there,what is indigo
how-many-bands-are-there,what is violet
how-many-bands-are-there,what is blue
how-many-bands-are-there,what is green
how-many-bands-are-there,what is yellow
how-many-bands-are-there,what is red
how-many-bands-are-there,what is orange
how-many-people-can-you-speak-to-at-once,How many people can you speak to at once?
how-to-enroll-dependents,how to enroll dependents
how-to-enroll-dependents,how do i enroll dependents
how-to-enroll-dependents,i want to enroll my dependents
how-to-enroll-dependents,How do i enrol my relatives
how-to-enroll-dependents,Can i get my dependents enrolled mid-year
how-to-enroll-dependents,Is enrolment open
how-to-enroll-dependents,What is the enrolment period
how-to-enroll-dependents,I have a new family member how do i enrol
how-to-enroll-dependents,I have recently married. How do i enrol my wife/husband
how-to-enroll-dependents,i was married recently how do i enroll my wife
how-to-enroll-dependents,i was married recently how do i enroll my husband
how-to-enroll-dependents,i had kid recently how do i enroll my wife
how-to-enroll-dependents,i had kid recently how do i enroll my kid
how-to-enroll-dependents,Can I enrol my in-laws - I got married recently
how-to-enroll-dependents,i go married recently can i enroll my in laws
how-to-enroll-dependents,i got married can i enroll my wife
how-to-enroll-dependents,I have a new family member how do i enrol
how-to-enroll-dependents,I have recently married. How do i enrol my wife/husband
how-to-enroll-dependents,I had a kid recently how do i enrol
how-to-enroll-dependents,enroll-dependents-midyear
how-to-enroll-dependents,Can i get my dependents enrolled mid-year
how-to-enroll-dependents,how can i enroll my dependents mid year
how-to-get-e-cards,where can i get e cards
how-to-get-e-cards,how to get e cards
how-to-get-e-cards,i want to get a e card
how-to-get-e-cards,help me in getting e cards
how-to-get-e-cards,Where can i get ecard
how-to-get-e-cards,help me in getting ecards
how-to-get-e-cards,how to get ecards
how-to-get-e-cards,where can i get ecards
how-to-get-e-cards,I want my e-cards
how-to-get-e-cards,I want to download my mediclaim cards
how-to-get-e-cards,How do I download mediclaim ecards
how-was-the-sub-band-mapping-decided,How was the sub-band mapping decided? 
how-was-the-sub-band-mapping-decided,how is the mapping for sub band decided
how-was-the-sub-band-mapping-decided,How was the sub-band mapping decided for role banding? 
how-was-the-sub-band-mapping-decided,How was the sub band mapping decided for role banding
how-was-your-last-weekend,how was your last weekend
how-was-your-last-weekend,How was your last weekend
hows-life,how is life in bangalore
hows-life,How’s life in chennai?
hows-life,how's life
hows-life,How's life
i-am-going-for-dinner,i am going for dinner
i-am-going-for-lunch,i am going for lunch
i-am-going-for-lunch,Going for lunch
i-want-to-eat-can-you-suggest-me-something,i want to eat. can you suggest me something
im-hungry-do-you-have-any-suggestion,i'm hungry. do you have any suggestion
im-in-band-blue-can-i-get-a-progression,I’m in band blue. can I get a progression
im-in-band-blue-can-i-get-a-progression,I’m in band Green. can I get a progression 
im-in-band-blue-can-i-get-a-progression,i'm from G Band . can i get a progression
incoherent-statement,*incoherent statement*
instagram,Instagram
inter-vs-intra-band,"Inter-band, intra-band what does it mean"
inter-vs-intra-band,what is the difference between inter and intra band
